### BSdrift_n40_M10000_v0.5_mu-0.8_S010_std0.1_tmax1
i t1 x1 t2 x2 t3 x3
446 0.1 9.425 0.5 6.8 1 4.675
447 0.1 9.075 0.5 6.275 1 4.075
448 0.1 9.325 0.5 6.8 1 4.3
449 0.1 9.7 0.5 7.325 1 4.7
450 0.1 9.175 0.5 7.1 1 4.45
451 0.1 9.875 0.5 6.95 1 4.625
452 0.1 9.5 0.5 6.35 1 4
453 0.1 8.95 0.5 6.575 1 4.175
454 0.1 9.375 0.5 6.475 1 4.35
455 0.1 9.025 0.5 6.8 1 4.1
456 0.1 9.175 0.5 6.45 1 4.525
457 0.1 9.325 0.5 6.775 1 4.475
458 0.1 9.25 0.5 6.8 1 4.9
459 0.1 8.75 0.5 5.875 1 3.45
460 0.1 9.55 0.5 6.3 1 4.35
461 0.1 9.35 0.5 7.05 1 4.275
462 0.1 8.9 0.5 6.3 1 4
463 0.1 9.325 0.5 6.95 1 4.475
464 0.1 9.3 0.5 6.425 1 3.8
465 0.1 9.025 0.5 6.85 1 4.525
466 0.1 9.2 0.5 6 1 3.6
467 0.1 9.1 0.5 7.125 1 4.825
468 0.1 9.7 0.5 7.3 1 4.35
469 0.1 9.15 0.5 6.65 1 4.1
470 0.1 8.95 0.5 6.05 1 4.425
471 0.1 9.5 0.5 7 1 4.725
472 0.1 9.5 0.5 6.9 1 4.35
473 0.1 9.125 0.5 6.7 1 4.075
474 0.1 9.15 0.5 6.275 1 3.9
475 0.1 9.125 0.5 6.525 1 4.725
476 0.1 9 0.5 7.125 1 4.925
477 0.1 9.3 0.5 6.8 1 3.75
478 0.1 9.175 0.5 6.8 1 4.15
479 0.1 9 0.5 6.6 1 4.8
480 0.1 9.65 0.5 7 1 4.925
481 0.1 8.9 0.5 6.175 1 4.2
482 0.1 9.275 0.5 7.1 1 5.025
483 0.1 9.875 0.5 7.225 1 4.3
484 0.1 9.075 0.5 5.9 1 3.85
485 0.1 9.3 0.5 6.775 1 4.8
486 0.1 8.975 0.5 7.1 1 4.95
487 0.1 8.975 0.5 7.475 1 5.425
488 0.1 9.225 0.5 6.025 1 4.2
489 0.1 8.85 0.5 6.45 1 4.3
490 0.1 9.2 0.5 7.05 1 4.425
491 0.1 8.65 0.5 6.575 1 4.175
492 0.1 9.3 0.5 6.95 1 4.7
493 0.1 9.5 0.5 7 1 4.625
494 0.1 9.275 0.5 7.025 1 4.9
495 0.1 9.05 0.5 6.6 1 4.7
496 0.1 9.4 0.5 7.725 1 5.3
497 0.1 9.325 0.5 7 1 3.95
498 0.1 9.175 0.5 6.675 1 4.825
499 0.1 9.3 0.5 6.35 1 4.25
500 0.1 9.525 0.5 7.625 1 4.75
501 0.1 8.9 0.5 6.3 1 5.1
502 0.1 9.05 0.5 6.575 1 4.125
503 0.1 9.725 0.5 6.975 1 4.7
504 0.1 9.1 0.5 6.8 1 4.675
505 0.1 9.325 0.5 6.65 1 5.075
506 0.1 9.35 0.5 7.225 1 4.8
507 0.1 8.925 0.5 6.575 1 4.15
508 0.1 9.025 0.5 7.1 1 4.45
509 0.1 8.9 0.5 6.075 1 3.925
510 0.1 9.375 0.5 6.65 1 4.45
511 0.1 9.2 0.5 6.425 1 4.375
512 0.1 9.4 0.5 7.375 1 5.35
513 0.1 9.95 0.5 7.275 1 4.925
514 0.1 9.475 0.5 6.575 1 4.7
515 0.1 9.3 0.5 6.975 1 4.925
516 0.1 9.35 0.5 6.475 1 4.125
517 0.1 8.775 0.5 6.325 1 4.65
518 0.1 8.875 0.5 7.025 1 4.775
519 0.1 9.675 0.5 7.225 1 4.675
520 0.1 9.025 0.5 6.85 1 4.4
521 0.1 9.05 0.5 6.825 1 4.525
522 0.1 8.575 0.5 5.8 1 3.8
523 0.1 9.425 0.5 6.85 1 4.3
524 0.1 9.5 0.5 6.8 1 4.6
525 0.1 9.575 0.5 6.025 1 3.825
526 0.1 8.8 0.5 6.325 1 4.35
527 0.1 9.4 0.5 6.9 1 4.875
528 0.1 9.1 0.5 6.7 1 4.925
529 0.1 9.35 0.5 6.075 1 3.95
530 0.1 9.275 0.5 6.6 1 4.55
531 0.1 9.625 0.5 6.575 1 4.525
532 0.1 9.125 0.5 6.25 1 4.075
533 0.1 9.375 0.5 6.9 1 5.025
534 0.1 9.4 0.5 6.95 1 4.15
535 0.1 9.175 0.5 6.925 1 4.55
536 0.1 8.95 0.5 6.275 1 3.65
537 0.1 9.6 0.5 6.3 1 3.975
538 0.1 9.425 0.5 6.075 1 3.925
539 0.1 9.525 0.5 6.475 1 4.325
540 0.1 9.175 0.5 6.125 1 3.9
541 0.1 9.3 0.5 6.175 1 3.975
542 0.1 9.275 0.5 7.225 1 5.125
543 0.1 9 0.5 6.95 1 4.4
544 0.1 8.9 0.5 6.75 1 4.975
545 0.1 9.275 0.5 7.025 1 4.65
546 0.1 8.775 0.5 6.325 1 4.2
547 0.1 9.3 0.5 7.775 1 5.25
548 0.1 9.175 0.5 5.775 1 4.125
549 0.1 8.925 0.5 6.425 1 4.4
550 0.1 9.525 0.5 6.1 1 4.225
551 0.1 9.1 0.5 7.05 1 4.2
552 0.1 9.2 0.5 6.8 1 4.5
553 0.1 8.65 0.5 6.725 1 4.625
554 0.1 9 0.5 6.675 1 4.45
555 0.1 9.175 0.5 6.45 1 4.525
556 0.1 8.975 0.5 6.5 1 4.675
557 0.1 9.45 0.5 7.275 1 4.95
558 0.1 9.375 0.5 7.2 1 4.675
559 0.1 9.125 0.5 6.375 1 4.1
560 0.1 9.2 0.5 6.55 1 4.35
561 0.1 9.45 0.5 7.125 1 4.475
562 0.1 9.825 0.5 7.35 1 5.275
563 0.1 9.275 0.5 6.35 1 4.4
564 0.1 9.2 0.5 6.9 1 4.675
565 0.1 9.125 0.5 6.325 1 4.725
566 0.1 9.75 0.5 7.425 1 5.425
567 0.1 9.1 0.5 6.8 1 4.5
568 0.1 9.25 0.5 7.225 1 4.95
569 0.1 9.2 0.5 6.475 1 4.275
570 0.1 9.55 0.5 6.85 1 4.725
571 0.1 9.05 0.5 6.75 1 3.95
572 0.1 8.975 0.5 6.7 1 4.6
573 0.1 9.125 0.5 7.275 1 4.275
574 0.1 9.25 0.5 7.175 1 4.75
575 0.1 9.3 0.5 6.45 1 3.925
576 0.1 9.15 0.5 5.825 1 3.625
577 0.1 9.075 0.5 5.5 1 3.2
578 0.1 9.275 0.5 5.725 1 3.925
