### Donsken_stat_n40_M10000_mean5_S050
i t1 x1 t2 x2 t3 x3
339 0.1 50.45 0.5 52.65 1 55.1
340 0.1 50.3 0.5 51.8 1 54.7
341 0.1 51 0.5 53.05 1 55.25
342 0.1 50.65 0.5 53.6 1 57.6
343 0.1 50.5 0.5 52.8 1 56
344 0.1 50.4 0.5 53.1 1 55.1
345 0.1 50.85 0.5 52.6 1 55.25
346 0.1 50.3 0.5 52.05 1 54.9
347 0.1 50.4 0.5 52.4 1 54.2
348 0.1 50.15 0.5 51.15 1 54.35
349 0.1 50.5 0.5 52.8 1 56.35
350 0.1 50.45 0.5 53.2 1 54.45
351 0.1 50.8 0.5 52.6 1 55.3
352 0.1 50.4 0.5 53 1 56.35
353 0.1 50.75 0.5 54 1 56.25
354 0.1 50.7 0.5 52.3 1 55.85
355 0.1 50.35 0.5 52.4 1 54.2
356 0.1 50.2 0.5 51.25 1 54.25
357 0.1 50.25 0.5 51.8 1 55.7
358 0.1 50.2 0.5 52.45 1 55.15
359 0.1 50.55 0.5 52.2 1 55.3
360 0.1 50.75 0.5 52.35 1 55.65
361 0.1 50.5 0.5 52.15 1 55.35
362 0.1 50.65 0.5 53.4 1 56.4
363 0.1 50.15 0.5 52.85 1 55.95
364 0.1 50.1 0.5 50.5 1 53.1
365 0.1 50.5 0.5 52.25 1 54.65
366 0.1 50.65 0.5 52.8 1 53.8
367 0.1 50.4 0.5 52.15 1 54.35
368 0.1 50.4 0.5 52.6 1 54.8
369 0.1 51.1 0.5 51.55 1 54.45
370 0.1 50.1 0.5 52.5 1 55.2
371 0.1 50.5 0.5 53.3 1 55.9
372 0.1 50.4 0.5 52.75 1 54.95
373 0.1 50.3 0.5 52.85 1 54.9
374 0.1 50.6 0.5 51.95 1 54.05
375 0.1 50.5 0.5 52.65 1 55.35
376 0.1 51 0.5 52.35 1 55.6
377 0.1 51.1 0.5 53.8 1 57.45
378 0.1 51 0.5 52.45 1 53.75
379 0.1 50.4 0.5 51.95 1 54.25
380 0.1 49.95 0.5 52.35 1 54.45
381 0.1 50.7 0.5 52.45 1 54.1
382 0.1 50.6 0.5 51.5 1 53.55
383 0.1 50.25 0.5 52.25 1 54.2
384 0.1 50.7 0.5 53.25 1 55.25
385 0.1 50.6 0.5 51.95 1 55.35
386 0.1 50.65 0.5 53.15 1 54.75
387 0.1 50.75 0.5 53.7 1 54.8
388 0.1 50 0.5 51.75 1 54.65
389 0.1 50.45 0.5 52.55 1 55.25
390 0.1 49.6 0.5 50.35 1 52.85
391 0.1 50.35 0.5 52.6 1 54.8
392 0.1 50.35 0.5 52.2 1 55.3
393 0.1 50.6 0.5 51.6 1 54.5
394 0.1 50 0.5 51.7 1 54.45
395 0.1 50.5 0.5 52.55 1 54.6
396 0.1 50.25 0.5 51.85 1 55
397 0.1 50.85 0.5 52.65 1 55.5
398 0.1 50 0.5 52.3 1 55.55
399 0.1 50.7 0.5 54.15 1 57.85
400 0.1 50.4 0.5 51.9 1 53.85
401 0.1 50.15 0.5 51.85 1 54.8
402 0.1 50.75 0.5 53.4 1 54.55
403 0.1 50.1 0.5 52 1 54.75
404 0.1 50 0.5 52.55 1 55.15
405 0.1 50.05 0.5 51.5 1 54.4
406 0.1 51.05 0.5 53.15 1 56.15
407 0.1 49.8 0.5 52.45 1 55.4
408 0.1 50.5 0.5 52.6 1 53.35
409 0.1 49.7 0.5 51.65 1 54.3
410 0.1 50.5 0.5 53.15 1 55.95
411 0.1 50.15 0.5 52.3 1 54.4
412 0.1 51.2 0.5 53.9 1 56.95
